SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531161,ABM KNOWLEDG,B ,Q,19.45,19.45,18.55,18.55,18.55,18.65,4,650,12192.00,
500410,ACC LTD     ,A ,Q,594.00,624.00,594.00,614.85,614.85,594.80,5617,239838,147604781.00,
532774,ACCEL FRONTL,B ,Q,59.50,61.40,55.35,56.65,56.65,60.15,54,3355,192747.00,
517494,ACCEL TRANS ,B ,Q,12.00,12.00,10.37,10.99,10.99,10.99,12,1139,12286.00,
531897,ACCENT TECH ,S ,Q,75.95,80.00,73.60,74.50,74.50,74.05,1155,198462,15338310.00,
530513,ACCURATE TRA,B ,Q,38.00,40.20,38.00,38.75,38.75,38.50,11,880,33976.00,
530093,ACE INDIA LT,T ,Q,4.90,4.90,4.90,4.90,4.90,4.69,2,200,980.00,
531525,ACE SOFTWARE,S ,Q,12.61,13.09,12.61,13.09,13.09,12.55,2,1000,12850.00,
530043,ACKNIT IND  ,B ,Q,21.95,21.95,21.95,21.95,21.95,20.95,1,100,2195.00,
513149,ACROW INDIA ,B ,Q,91.00,91.00,84.80,85.25,84.80,88.50,4,100,8811.00,
524091,ACRYCIL LTD.,B ,Q,66.10,69.40,66.10,69.40,69.40,67.00,14,2932,198987.00,
532762,ACTION CONST,B ,Q,19.00,19.30,18.40,18.55,18.55,18.45,632,171753,3242128.00,
511706,ACTION FIN. ,T ,Q,19.00,19.00,18.00,18.20,18.60,18.90,9,1150,21480.00,
512599,ADANI ENTER ,A ,Q,440.25,457.85,431.00,444.30,444.30,432.90,5155,219835,98372024.00,
526711,ADARSH PLANT,T ,Q,4.40,4.40,4.10,4.10,4.10,4.25,2,500,2110.00,
507852,ADDI IND.   ,S ,Q,6.39,6.39,6.00,6.00,6.00,6.09,2,100,603.00,
519183,ADF FOODS LT,S ,Q,31.20,33.50,31.20,31.70,31.65,31.05,29,3332,105977.00,
532727,ADHUNIK MET ,B ,Q,47.80,49.20,46.70,48.75,48.75,47.80,391,108174,5240462.00,
500303,ADI BIR NUVO,A ,Q,548.00,548.00,520.00,524.60,524.60,512.35,1236,29844,15874359.00,
590088,ADINATH BIO ,B ,Q,19.20,19.70,18.95,19.15,19.15,19.30,231,299389,5745313.00,
522150,ADITYA FORGE,Z ,Q,3.00,3.00,3.00,3.00,3.00,3.00,1,1000,3000.00,
513513,ADITYA ISPAT,B ,Q,5.70,5.82,5.70,5.82,5.82,5.55,8,1406,8128.00,
532399,ADLABS FILMS,B ,Q,244.40,262.90,225.10,237.95,237.95,243.10,28692,2225107,555901148.00,
530431,ADOR FONTECH,S ,Q,86.30,91.90,86.30,87.70,87.30,87.30,26,2486,224164.00,
523120,ADOR MULTI. ,B ,Q,12.50,12.50,11.93,12.50,12.50,12.53,5,2395,29880.00,
517041,ADORWELDING ,B ,Q,124.90,133.50,116.15,126.35,126.35,121.40,727,47153,6094010.00,
512149,ADVANCE TECH,B ,Q,11.95,11.95,11.95,11.95,11.95,11.39,22,216670,2589206.00,
517552,ADVANCED MIC,S ,Q,37.90,37.90,36.80,36.85,37.75,37.50,4,214,7889.00,
523269,ADVANI HOTEL,B ,Q,29.00,29.00,27.35,27.70,27.70,28.65,11,326,9028.00,
532840,ADVANTA     ,B ,Q,509.95,554.00,500.00,516.35,516.35,496.90,474,7886,4221153.00,
531429,ADVENT COMP.,T ,Q,2.76,2.90,2.76,2.90,2.90,2.90,5,1525,4237.00,
531686,ADVIK LABORS,B ,Q,3.50,3.50,3.50,3.50,3.50,3.32,2,683,2390.00,
500003,AEGIS LOGIS ,B ,Q,82.50,84.80,81.65,82.75,83.80,82.65,104,8172,679264.00,
503655,AEONIAN PUB ,B ,Q,101.50,112.00,101.50,110.90,110.00,114.60,74,941,100591.00,
530707,AFTEK LTD   ,B ,Q,9.30,9.50,8.86,8.94,8.94,9.02,433,191666,1732562.00,
